create / a
set_chunk_loc / a 4fa6d790-8ac3-49a6-9cc2-d297b013beb5 [0, 1]
set_chunk_loc / a 8dbea269-8abc-4a46-a93d-8f5ae4560772 [0, 1]
set_chunk_loc / a e9509716-9031-4c9f-8323-5f06ebe064ee [2, 0]
set_chunk_loc / a 047dc491-c689-4c8f-9a64-104b5127deea [2, 0]
set_chunk_loc / a b295c5eb-a725-4901-98bc-6bf74900b63f [0, 2]
set_chunk_loc / a 27299830-3978-4165-b921-43f334de69fc [2, 0]
set_chunk_loc / a 15cfe507-eb27-4685-94b8-823a1f1828c5 [0, 2]
set_chunk_loc / a 75171486-f50b-4af4-a3df-f8207fc712b2 [0, 1]
set_chunk_loc / a 09d955f5-5b56-43e3-8129-b1c9b8ccbdd9 [1, 2]
set_chunk_loc / a 2a6509e7-432e-41c0-8a9c-8a7058a6fb33 [1, 2]
set_chunk_loc / a eb442e45-3e03-44dd-93f1-276bc239a065 [2, 0]
set_chunk_loc / a fc873b8c-442b-457c-a300-31019b80e847 [1, 0]
set_chunk_loc / a e99176b1-1489-4dc7-a6b2-6ee1b6deefd6 [0, 2]
set_chunk_loc / a e68cda63-411b-4278-8a38-79771cdb4aa1 [0, 1]
set_chunk_loc / a 488f2911-f469-4d70-9e0a-3e39ed63341c [2, 1]
set_chunk_loc / a ae8279ad-0eba-4ba4-b485-4e0218e39849 [0, 2]
set_chunk_loc / a 217c6ca3-975f-43fa-8df6-40bce0750646 [1, 0]
set_chunk_loc / a f069e861-7fd4-44bc-857f-071a58a4e53c [2, 1]
set_chunk_loc / a 5efaebb5-6fdf-48d1-9157-559db2757829 [2, 0]
set_chunk_loc / a 00a097d3-004d-4e06-a56a-2f1ad8684e96 [0, 2]
set_chunk_loc / a 5c62b7b9-af24-450c-afd6-f12dd6e50238 [2, 1]
set_chunk_loc / a 29dce451-aba3-466c-a5fe-ff25720ed29d [2, 0]
set_chunk_loc / a 06b6b792-1720-406a-8ac3-d6094c4b7129 [0, 1]
set_chunk_loc / a 354b1eeb-ac78-420a-bd9d-947e78ce23fb [1, 2]
set_chunk_loc / a 7b6643d2-5ef8-41ab-bca8-4f965f1c55a8 [0, 2]
set_chunk_loc / a 1e63236d-3ffb-40a6-b679-58a726b29fc2 [2, 0]
set_chunk_loc / a c22467b8-69a8-447e-997f-90a47c84112d [1, 0]
set_chunk_loc / a 2b41a404-4088-4ada-bc15-2a465067a79f [0, 1]
set_chunk_loc / a 679aae07-7538-4c14-855c-536047f11567 [2, 1]
